hardware_id,created_at,Wh,voltage ry,voltage yb,voltage br,Voltage R,Voltage Y,Voltage B,Current R,Current Y,Current B
abcdefgh,2019-06-27T19:43:00.000Z,69940.91791,0,404,402,231,235,232,6.5625,6.375,6.90625
abcdefgh,2019-06-27T19:41:00.000Z,69922.1097,0,404,402,231,235,233,6.53125,6.4375,6.90625
abcdefgh,2019-06-27T19:40:00.000Z,69903.58667,0,404,400,230,235,232,6.53125,6.375,7
abcdefgh,2019-06-27T19:38:00.000Z,69885.21734,0,404,400,230,235,232,6.53125,6.375,7.09375
abcdefgh,2019-06-27T19:36:00.000Z,69866.61246,0,404,400,230,235,232,6.40625,6.34375,7.0625
abcdefgh,2019-06-27T19:33:00.000Z,69839.8175,0,404,402,233,235,232,6.3125,6.1875,7.25
abcdefgh,2019-06-27T19:32:00.000Z,69820.94528,0,406,404,233,235,233,6.34375,6.21875,7.25
abcdefgh,2019-06-27T19:30:00.000Z,69802.02878,0,404,402,232,236,233,6.4375,6.28125,7.1875
abcdefgh,2019-06-27T19:28:00.000Z,69783.22961,0,406,400,232,235,233,6.40625,6.25,7.15625
abcdefgh,2019-06-27T19:26:00.000Z,69764.51255,0,406,402,231,235,232,6.4375,6.25,7.15625
abcdefgh,2019-06-27T19:24:00.000Z,69745.37572,0,406,402,232,236,233,6.4375,6.3125,7.0625
abcdefgh,2019-06-27T19:23:00.000Z,69726.76321,0,404,402,232,235,232,6.4375,6.28125,7.1875
abcdefgh,2019-06-27T19:21:00.000Z,69707.92363,0,406,402,232,236,233,6.40625,6.25,7.28125
abcdefgh,2019-06-27T19:19:00.000Z,69689.2689,0,406,402,233,236,233,6.46875,6.21875,7.28125
abcdefgh,2019-06-27T19:17:00.000Z,69670.78372,0,406,402,232,236,233,6.5,6.3125,7.0625
abcdefgh,2019-06-27T19:15:00.000Z,69652.3752,0,406,402,232,236,233,6.46875,6.28125,7.125
abcdefgh,2019-06-27T19:14:00.000Z,69633.88968,0,406,402,232,236,232,6.46875,6.34375,6.9375
abcdefgh,2019-06-27T19:12:00.000Z,69615.34456,0,406,402,233,236,233,6.4375,6.34375,6.9375
abcdefgh,2019-06-27T19:10:00.000Z,69597.05048,0,406,402,231,236,233,6.46875,6.375,7
abcdefgh,2019-06-27T19:08:00.000Z,69578.99654,0,406,402,231,236,233,6.40625,6.3125,7.15625
abcdefgh,2019-06-27T19:06:00.000Z,69561.2037,0,406,402,232,236,233,6.4375,6.28125,7.1875
abcdefgh,2019-06-27T19:05:00.000Z,69543.28946,0,406,404,233,236,234,6.40625,6.1875,7.375
abcdefgh,2019-06-27T19:03:00.000Z,69525.36151,0,408,404,233,237,234,6.4375,6.28125,7.25
abcdefgh,2019-06-27T19:02:00.000Z,69516.69322,0,408,404,233,237,234,6.46875,6.25,7.28125
abcdefgh,2019-06-27T19:01:00.000Z,69508.56875,0,408,404,233,237,235,6.40625,6.3125,7.15625
abcdefgh,2019-06-27T18:59:00.000Z,69490.20082,0,410,404,233,238,234,6.46875,6.25,7.125
abcdefgh,2019-06-27T18:58:00.000Z,69471.69392,0,408,404,233,238,235,6.53125,6.375,7.03125
abcdefgh,2019-06-27T18:56:00.000Z,69452.88048,0,410,404,233,238,235,6.5,6.3125,7.0625
